,,,toss
4.621649,2.726550,2.931740,3.000000
2.858462,2.715515,2.414985,3.000000
4.379574,2.536929,2.607731,3.000000
1.956478,2.840096,2.481917,3.000000
4.709153,2.862706,2.894613,3.000000
4.517390,2.921786,2.625810,3.000000
3.563345,2.619236,2.828965,3.000000
2.724953,2.529665,2.781720,3.000000
3.911150,2.778820,2.741807,3.000000
3.198204,2.528904,2.838088,3.000000
4.223607,2.898989,2.807333,3.000000
2.612025,2.863138,2.752938,3.000000
2.687801,2.587908,2.774227,3.000000
2.389714,2.462310,2.507765,3.000000
2.958299,2.860986,2.568046,3.000000
4.587355,2.576795,2.645512,3.000000
2.973555,2.626443,2.889427,3.000000
3.749118,2.673057,2.926868,3.000000
4.640444,2.620140,2.726956,3.000000
3.878107,2.838343,2.921680,3.000000
3.468185,2.763931,2.520701,3.000000
2.772236,2.594972,2.732122,3.000000
3.034271,3.082030,2.524790,3.000000
2.324383,2.800347,2.474737,3.000000
2.329324,2.756357,2.878413,3.000000
5.415431,2.867691,2.758841,3.000000
3.019256,2.681595,2.981476,3.000000
2.975889,2.834954,2.901315,3.000000
4.166991,2.871990,2.780917,3.000000
3.659366,2.517595,2.812102,3.000000
4.033858,2.679360,2.827841,3.000000
3.169161,2.648105,2.672696,3.000000
5.170885,2.613381,3.056928,3.000000
4.311894,2.660534,2.574101,3.000000
4.108227,2.547518,2.762447,3.000000
4.362451,3.070581,2.808565,3.000000
2.389535,2.711266,2.614244,3.000000
5.416224,2.609868,2.828316,3.000000
5.563401,2.666274,2.869858,3.000000
2.843190,2.811380,2.773270,3.000000
3.979192,2.625566,2.589653,3.000000
4.475688,2.447212,2.777641,3.000000
5.408513,2.765122,2.878309,3.000000
5.281692,2.903901,2.752154,3.000000
4.209781,2.626839,3.021006,3.000000
5.015741,2.681855,2.834635,3.000000
2.450927,2.695113,2.699026,3.000000
4.248822,2.653471,2.685215,3.000000
1.523242,2.608137,2.646082,3.000000
3.236172,2.737516,2.781732,3.000000
3.273872,2.683043,2.920703,3.000000
3.186498,2.760153,2.771947,3.000000
3.369556,2.751199,2.877766,3.000000
2.639087,2.640577,2.967302,3.000000
3.341100,2.734229,2.773822,3.000000
4.248418,2.695304,2.651890,3.000000
3.826672,2.803352,2.768852,3.000000
3.767066,2.803460,2.673421,3.000000
2.980253,2.753925,2.809795,3.000000
4.228634,2.635697,3.054913,3.000000
3.243307,2.778005,2.844663,3.000000
3.694655,2.589819,2.721819,3.000000
3.651583,2.680933,2.451577,3.000000
3.800068,2.769947,2.699602,3.000000
4.284198,2.651193,2.896944,3.000000
5.018293,2.803604,2.786617,3.000000
3.869903,2.719742,2.493694,3.000000
3.782097,2.803640,2.865413,3.000000
2.893906,2.804736,2.904422,3.000000
4.215206,2.546832,2.959680,3.000000
4.702866,2.597973,2.962468,3.000000
4.004525,2.661328,2.895722,3.000000
5.671616,2.822125,2.616515,3.000000
3.067350,2.830025,2.791488,3.000000
4.337109,2.688200,2.627028,3.000000
3.168960,2.706123,2.712841,3.000000
4.223526,2.758018,2.889805,3.000000
3.441500,2.834373,2.743546,3.000000
3.632971,2.680387,2.540892,3.000000
4.592111,2.969620,2.691396,3.000000
4.163182,2.680706,2.936838,3.000000
5.188011,2.504310,2.924702,3.000000
1.592638,2.741187,2.623925,3.000000
4.836960,2.706638,2.672122,3.000000
5.576212,2.748941,2.969404,3.000000
4.944109,2.736249,2.513873,3.000000
4.133855,2.590138,2.768708,3.000000
3.284782,2.426835,2.850970,3.000000
2.772427,2.770890,2.883326,3.000000
6.067064,2.618697,2.933385,3.000000
4.077069,4.262314,3.352420,4.000000
3.488491,4.378419,3.178660,4.000000
5.172998,4.506862,3.320407,4.000000
2.427071,4.484679,3.155341,4.000000
3.294452,4.398539,3.386201,4.000000
4.346946,4.393872,3.117604,4.000000
5.195905,4.516811,3.133291,4.000000
2.511908,4.351819,3.467638,4.000000
4.419200,4.338579,3.179565,4.000000
4.469090,4.494678,3.063731,4.000000
3.966320,4.465397,3.357948,4.000000
4.262515,4.341444,3.332182,4.000000
3.451664,4.349746,3.177950,4.000000
4.373640,4.555082,3.255067,4.000000
4.919663,4.644076,3.367005,4.000000
3.318228,4.225050,3.489811,4.000000
4.651383,4.528082,3.670592,4.000000
3.385313,4.160609,3.399942,4.000000
4.921974,4.324002,3.431564,4.000000
4.427726,4.255230,3.251820,4.000000
3.546554,4.293615,3.417098,4.000000
4.544579,4.422703,3.602046,4.000000
3.297733,4.406276,3.094668,4.000000
3.675807,4.225519,3.401694,4.000000
3.509718,4.265753,3.229758,4.000000
3.976292,4.202346,3.468432,4.000000
2.554797,4.289595,3.237028,4.000000
3.477661,4.518710,3.275436,4.000000
3.220592,4.470031,3.315377,4.000000
2.606313,4.487468,3.077999,4.000000
4.133912,4.371153,3.381308,4.000000
3.051885,4.492521,3.260046,4.000000
2.572006,4.509897,3.306870,4.000000
4.285983,4.503584,3.264046,4.000000
5.012782,4.478691,3.150560,4.000000
4.440020,4.362316,3.060294,4.000000
2.951712,4.465900,3.173521,4.000000
5.467948,4.342029,3.164191,4.000000
6.866109,4.488693,3.175680,4.000000
3.655950,4.555773,3.207163,4.000000
3.706106,4.379720,3.334342,4.000000
3.266220,4.384354,3.418190,4.000000
3.834779,4.446071,3.256001,4.000000
3.703605,4.485658,3.431561,4.000000
4.467410,4.452445,3.591648,4.000000
3.399637,4.401325,3.449326,4.000000
3.090797,4.451614,3.361074,4.000000
3.830267,4.486936,3.070448,4.000000
2.770258,4.255733,3.527161,4.000000
5.197202,4.645127,3.590660,4.000000
4.241622,4.289342,3.527168,4.000000
4.778298,4.514880,3.141990,4.000000
2.915881,4.406368,3.380171,4.000000
4.141624,4.394289,3.508406,4.000000
2.948325,4.300887,3.532689,4.000000
2.531903,4.315074,3.201063,4.000000
5.826253,4.375573,3.260374,4.000000
3.539360,4.430299,3.143556,4.000000
3.190064,4.428382,3.280282,4.000000
5.836694,4.429339,3.310615,4.000000
3.150415,4.437841,3.069860,4.000000
5.121981,4.375922,3.403586,4.000000
4.535677,4.383557,3.272683,4.000000
3.623935,4.416083,3.161416,4.000000
3.978388,4.313622,3.378809,4.000000
4.121423,4.386873,3.354397,4.000000
4.104704,4.395776,3.454416,4.000000
3.228023,4.457821,3.007254,4.000000
4.658418,4.290904,3.371978,4.000000
2.970330,4.243541,3.496614,4.000000
3.793740,4.395341,3.271828,4.000000
5.847355,4.511162,3.129195,4.000000
4.747151,4.398768,3.353050,4.000000
4.616438,4.372342,3.385989,4.000000
2.612865,4.563389,3.112049,4.000000
3.976590,4.383901,3.247003,4.000000
3.531665,4.382540,3.277555,4.000000
3.167004,4.393204,3.246466,4.000000
5.021397,4.319172,3.524910,4.000000
5.670237,4.280580,3.159585,4.000000
2.413158,4.296439,3.437297,4.000000
3.311039,4.704277,2.948793,4.000000
3.664836,4.591675,3.386542,4.000000
3.296043,4.235940,3.252467,4.000000
3.871370,4.387773,3.440292,4.000000
4.022034,4.433127,3.211650,4.000000
3.942792,4.205656,3.297733,4.000000
3.467195,4.331131,3.265823,4.000000
6.039451,4.359394,2.953445,4.000000
3.978200,4.258585,3.715941,4.000000
3.781958,4.303702,3.448063,4.000000
2.000524,4.573499,3.139171,4.000000
4.306493,4.409507,3.336008,4.000000
3.718702,4.391923,3.490412,4.000000
4.243595,4.526232,3.130967,4.000000
3.382001,4.496895,3.296159,4.000000
4.395773,4.556704,3.357736,4.000000
2.170301,4.568967,3.414176,4.000000
4.061056,4.251685,3.421153,4.000000
5.145288,4.493251,3.300270,4.000000
