,,,,,,,,,,toss
2.623200,6.002941,4.874426,3.979231,5.060154,5.402702,5.284309,5.525903,4.364332,3.635078,2.000000
5.221127,6.064257,5.393151,4.684528,3.527628,5.187724,4.445639,4.387415,4.729293,3.815033,2.000000
6.973021,6.027692,5.145444,6.371539,4.098368,6.667408,4.800848,5.267297,4.239696,4.003259,2.000000
4.470214,5.909139,5.184040,6.605527,5.252495,3.358523,4.915398,3.665224,5.524484,2.795326,2.000000
2.789994,5.961656,5.188152,4.649498,5.189617,5.855680,4.230201,4.626290,4.359927,5.342681,2.000000
4.395397,5.940918,4.914887,5.279467,4.429044,4.720496,4.837190,2.929361,4.104370,3.671382,2.000000
5.920196,6.006338,5.146750,3.473520,4.472487,5.715853,4.383671,5.391649,4.559831,5.880900,2.000000
3.022679,6.071767,5.056644,5.186094,5.102517,4.611269,3.838026,4.633295,2.974083,4.611756,2.000000
4.971463,5.704837,5.339195,5.176714,4.898875,4.887398,5.858735,4.042029,5.556840,5.117577,2.000000
6.661445,6.026049,4.945769,5.159398,4.213825,5.340797,4.999531,3.105543,5.209485,3.830633,2.000000
4.876089,6.226491,5.418347,5.062467,4.687597,5.714127,2.299347,6.267144,3.693137,4.010053,2.000000
5.181013,5.998663,5.251665,3.016465,2.178207,5.356841,3.891409,4.310657,5.340072,4.466050,2.000000
5.214147,5.778756,5.353557,5.200690,5.220309,4.041208,3.508000,5.946602,3.863000,5.256122,2.000000
3.136783,6.110679,4.966224,4.650800,1.699855,4.553787,4.785870,3.656622,3.187552,5.724932,2.000000
4.469914,5.899655,5.172974,7.149325,4.053637,5.095474,5.450999,3.300009,3.310164,3.323572,2.000000
4.269133,5.695187,5.180749,4.205206,4.906983,3.869815,4.153530,4.379479,4.909304,4.140143,2.000000
5.843550,6.247703,5.251014,4.698572,4.813401,4.732680,4.135210,5.251520,2.941224,3.659324,2.000000
5.514894,5.967613,5.099986,3.954744,5.167968,4.761026,6.961140,6.474713,2.944285,4.413937,2.000000
5.727805,6.045875,5.054976,4.472330,5.089355,5.034192,4.631936,4.518256,3.805098,3.927213,2.000000
5.192008,5.704198,5.214389,3.991764,5.465122,6.545274,5.825621,3.490840,5.741155,3.368212,2.000000
5.014921,5.759559,5.272060,5.571789,4.619004,4.452175,4.946340,5.693224,4.596094,4.290005,2.000000
3.368066,5.871768,5.136672,5.125267,3.728725,4.445980,4.603151,5.905251,5.004812,4.725838,2.000000
4.290411,5.737352,5.048705,5.630775,2.932120,2.923692,4.950716,1.042799,4.627201,4.529044,2.000000
6.065686,5.891211,5.213325,6.374957,4.547083,4.595693,5.785458,3.770154,5.633523,5.916398,2.000000
3.895188,6.041151,5.145833,5.607551,1.776945,6.434077,3.460630,4.307096,5.616850,4.481182,2.000000
5.535781,5.827661,5.207493,3.837799,4.164391,3.711543,4.806535,4.473261,6.614574,5.966273,2.000000
4.893619,5.766592,5.102618,3.860003,5.662596,5.027599,3.649436,5.472303,5.163837,4.565778,2.000000
5.256713,5.954092,5.176650,4.527330,3.354500,4.804587,5.843468,4.612817,5.750669,3.362348,2.000000
3.939497,5.822170,5.374523,4.102338,3.315993,5.340315,3.557598,5.836087,4.054036,4.413675,2.000000
3.677656,5.864028,5.326354,4.980649,4.893006,5.973585,4.726659,3.776908,5.124666,4.338091,2.000000
4.475296,5.912392,4.982614,3.786148,2.367786,5.525649,4.166970,4.384875,5.318154,3.295276,2.000000
3.342511,5.922588,5.130234,4.558141,5.047377,3.757884,5.522230,4.238875,4.806805,5.079861,2.000000
4.405970,6.054021,5.217918,2.797994,5.173351,5.364664,4.521605,4.123951,3.733108,3.479483,2.000000
3.317223,5.909906,5.390655,4.146762,3.821014,5.141405,2.554201,6.312959,3.631244,5.396674,2.000000
4.107663,6.032403,5.154639,3.423977,4.834291,4.142346,4.291800,4.098324,4.473495,4.378419,2.000000
4.847451,5.907215,5.249707,4.197477,3.765090,2.912192,4.135786,3.326304,5.441538,3.076846,2.000000
3.964816,5.906777,5.027215,5.425323,5.457420,5.881969,6.115118,4.710412,3.600747,5.949250,2.000000
4.108262,5.881875,5.136797,4.416886,3.156468,3.676680,4.207922,4.429877,4.363529,4.375856,2.000000
3.170490,6.000383,5.168533,3.484915,5.116082,4.189572,2.209458,4.398946,5.992399,4.423241,2.000000
4.035813,6.227114,5.322397,5.032863,6.789350,4.756933,2.692378,5.801056,4.164895,3.913193,2.000000
5.267992,5.835999,5.366821,4.105666,5.115291,4.809095,5.295601,5.005038,5.445183,3.425702,2.000000
4.994660,5.997469,5.232305,5.512880,3.212921,3.539905,4.799882,4.857646,3.337023,2.928817,2.000000
5.106055,6.049771,5.122791,4.591606,6.175904,4.480269,6.328490,6.037294,4.211358,6.130457,2.000000
4.025574,5.904294,5.259367,3.450211,4.128352,3.220353,6.305702,5.961328,5.675836,5.607455,2.000000
5.410127,5.979585,5.248722,4.492312,4.912124,5.497759,4.574456,4.513118,6.570247,4.756339,2.000000
4.913397,5.952868,5.253759,5.656807,3.871697,4.845988,3.680264,4.024278,3.784108,2.845859,2.000000
4.355236,5.888880,5.056368,5.354610,4.115302,3.574454,6.587106,4.800759,2.600157,5.127784,2.000000
6.332619,5.776803,4.998338,5.230325,6.083175,3.751202,5.506322,5.435520,3.901122,4.806006,2.000000
3.593321,5.894827,5.123255,6.165774,4.953641,6.437164,4.288238,5.047690,5.254582,4.970707,2.000000
5.534439,5.987763,5.184864,5.441192,5.476961,4.062559,3.562377,4.649345,3.597790,5.061867,2.000000
3.943172,6.115188,5.025154,6.320563,5.308595,3.790887,4.326717,5.241313,5.155093,2.478930,2.000000
4.891653,5.977967,5.175366,5.057045,4.640235,3.130847,5.673156,3.906269,4.543247,2.727480,2.000000
4.606953,6.036229,5.187273,4.249417,3.809229,7.314406,4.961167,5.565182,4.487514,6.199700,2.000000
4.154270,5.953574,5.386928,3.688599,4.847032,3.603161,3.158991,4.454251,4.945574,3.440186,2.000000
5.377161,5.790351,5.429652,3.884025,5.314596,5.075205,5.615414,6.516385,5.335584,4.951990,2.000000
5.464913,5.968059,5.170362,6.120299,5.247953,3.303907,4.388283,3.820644,5.530575,3.237347,2.000000
4.000049,6.039211,5.131009,4.457208,4.815043,5.363585,4.691931,5.284742,4.730467,4.979102,2.000000
4.662035,6.249548,5.326761,3.872383,3.787506,5.511025,6.592391,3.946257,3.548176,4.021036,2.000000
4.437391,5.878964,5.130107,4.399583,6.093675,6.160337,3.973247,3.133972,4.492431,6.212440,2.000000
4.242856,5.738243,5.127149,6.526097,6.340467,5.105659,3.925965,7.064524,3.867845,4.976285,2.000000
5.421089,6.030887,5.176661,2.537300,5.546332,4.808387,5.342927,3.575552,4.342288,4.928911,2.000000
3.476829,5.689261,5.014041,3.189588,4.392332,5.767471,4.359303,4.540011,4.693385,3.815149,2.000000
4.141357,5.893534,5.086840,2.754133,6.515635,4.466487,5.806997,4.310313,3.761378,3.583621,2.000000
6.260953,5.865160,5.225164,4.562554,3.025085,4.394853,4.163012,3.461122,4.522611,3.813245,2.000000
6.097782,5.808670,5.298393,4.517820,4.816280,4.167843,5.170946,5.139445,7.443256,5.424224,2.000000
4.454697,5.941468,5.067545,5.983744,4.313022,4.694015,4.997210,5.822167,6.875175,6.324933,2.000000
4.803692,5.976958,5.170023,4.106188,5.109320,3.847926,3.790882,5.058666,3.279132,4.735104,2.000000
6.259649,5.953063,5.232459,5.599951,6.261951,5.453786,5.308675,4.727672,5.268014,4.248954,2.000000
5.094855,5.758574,5.100496,5.348488,6.007652,3.174480,5.256961,3.660956,4.129484,4.870719,2.000000
5.501468,5.994053,5.395749,4.477200,5.451521,5.228069,4.778347,6.041563,4.653473,5.578808,2.000000
5.739663,6.154405,5.283558,5.488577,4.958915,4.240204,4.051724,7.329046,1.791648,5.346888,2.000000
4.713200,6.127909,5.279087,4.353951,3.315945,4.183013,4.746226,6.684051,6.119043,4.161467,2.000000
4.262429,5.906930,5.133359,4.834960,3.511900,3.180029,5.611818,3.970626,4.219088,4.657997,2.000000
4.012368,5.900641,5.216093,5.200087,5.239042,4.819611,5.236114,5.759564,5.394544,3.953874,2.000000
4.148775,5.683080,5.431683,4.850889,5.340306,5.732166,4.198701,4.199861,4.028217,5.963538,2.000000
4.279462,5.776982,5.284495,5.735523,5.292906,3.029961,5.034938,4.854451,5.661945,4.112266,2.000000
4.705456,5.986657,5.251867,5.699798,4.745377,4.205405,5.761848,5.976462,5.667935,4.509469,2.000000
4.782601,5.991289,5.283375,4.853759,3.565945,3.008975,6.556627,6.036355,4.725054,4.915649,2.000000
4.846383,5.956085,5.150966,3.948358,4.772058,4.924581,2.909705,5.407517,3.722934,5.946906,2.000000
5.660226,6.042947,4.922319,4.251453,6.402977,5.280552,5.260544,5.266954,3.814302,4.922794,2.000000
3.998266,6.119749,5.365874,4.415396,5.491979,4.331150,4.777268,3.674559,4.311943,5.366971,2.000000
4.999717,5.871785,5.277542,4.425862,5.220777,4.877962,4.749614,4.553250,5.508192,5.243257,2.000000
4.480171,5.741341,5.121115,5.759159,3.571000,4.009592,4.932767,3.907152,3.539247,5.269610,2.000000
5.353104,5.842631,5.140912,4.012213,3.738757,6.502411,4.417137,4.792529,5.889023,5.117155,2.000000
2.893302,5.844561,5.005144,2.573359,5.201652,4.200649,5.098370,4.269901,3.163400,5.749857,2.000000
2.710165,6.021457,5.194802,5.640049,4.192700,4.042844,6.612102,5.125099,6.353027,7.092154,2.000000
5.575568,5.959002,5.147728,6.844353,5.423262,5.347063,4.153139,3.872315,3.941090,3.770995,2.000000
5.320188,5.910439,5.276043,4.561564,2.955778,4.865293,5.034478,4.161275,5.398259,5.374893,2.000000
5.290425,6.059549,5.320518,6.269998,3.580029,4.235065,4.769890,6.173422,4.769605,5.049933,2.000000
3.073476,6.146752,5.252438,3.439416,5.599110,5.740390,4.372058,5.218148,4.281658,5.524869,2.000000
5.052362,6.065626,5.239335,6.671235,5.033574,4.451033,5.073083,4.377459,3.965384,4.905804,2.000000
5.234022,5.996847,5.035445,5.723154,5.937088,3.282228,5.328755,3.682663,5.203391,6.180963,2.000000
4.902901,5.858573,5.271182,4.670217,5.082785,5.185065,2.386611,4.380004,4.367222,5.166659,2.000000
4.186825,6.006373,5.227198,4.959537,6.282097,5.730525,4.215463,3.669071,5.156852,5.291209,2.000000
4.065163,3.063955,3.625852,6.002709,4.494209,5.105439,4.567565,4.445675,5.026326,5.057085,3.000000
4.821083,2.644076,3.391264,3.346338,4.473748,3.686695,2.637077,4.234152,5.536674,5.525688,3.000000
6.326899,3.079322,3.331936,2.709321,2.948444,5.130145,3.686746,4.001214,4.536127,5.117081,3.000000
4.551162,2.992776,3.601529,4.598071,3.763813,6.228651,5.294113,5.903626,5.256787,6.109645,3.000000
5.200511,2.980928,3.669194,4.599778,2.942790,4.047258,4.550906,4.386527,6.766991,4.443523,3.000000
5.252654,3.086210,3.618569,5.268660,3.686141,5.361716,5.533385,5.559878,6.657892,4.461636,3.000000
3.313743,2.898463,3.709805,5.140323,4.304290,5.130357,4.897283,4.263003,2.939681,5.720610,3.000000
4.131145,2.917838,3.429425,5.654520,3.103020,4.569017,5.138207,2.908041,5.927061,3.437215,3.000000
3.777282,2.919641,3.616849,6.274721,4.961246,4.029763,4.277050,4.618444,5.230021,4.201333,3.000000
3.384867,3.040062,3.734778,3.475421,4.853595,4.630807,5.112414,4.453968,5.811371,4.988497,3.000000
5.358948,2.954605,3.491290,4.165374,4.246065,3.723042,3.530356,4.379664,5.729178,5.159707,3.000000
5.878204,3.093137,3.715475,4.981876,4.126471,4.904259,4.824427,6.429854,3.675988,4.163856,3.000000
4.006453,2.687409,3.437955,4.373921,5.151235,4.044629,3.571428,6.441331,4.504755,4.236752,3.000000
5.926262,2.931676,3.487690,3.732413,5.534493,4.537366,2.622041,5.496439,4.785934,4.981157,3.000000
3.575018,2.895307,3.549077,5.768670,5.344487,7.135444,4.188730,5.848811,6.140601,5.316048,3.000000
4.351966,3.058159,3.344797,4.253994,4.760466,5.719544,4.322647,4.512581,3.815454,4.595922,3.000000
3.292311,2.807936,3.521377,6.696154,4.523582,5.717579,4.491230,4.531495,4.065696,6.165011,3.000000
6.249265,3.005349,3.595354,5.156073,6.042131,5.359949,4.989225,5.140932,4.603941,1.802338,3.000000
5.355655,2.890194,3.548018,5.390323,5.392753,5.230781,4.663290,3.562346,4.087082,5.448475,3.000000
4.026176,3.027235,3.540099,3.484561,5.168901,4.939888,5.727250,2.171974,4.349943,5.644297,3.000000
4.895527,3.014049,3.405587,6.744821,5.603463,5.375145,4.932950,6.361520,3.772826,4.328654,3.000000
5.172878,2.934759,3.470297,6.471618,4.442902,4.590130,3.882769,5.131575,4.599673,5.988606,3.000000
3.637894,2.963388,3.679035,4.963041,5.131033,3.377501,4.563583,5.020954,4.719371,3.754353,3.000000
5.363056,3.023625,3.709339,5.672688,4.428537,4.706379,4.110428,5.397644,4.931954,3.793557,3.000000
4.763980,2.994137,3.386040,4.565880,4.312020,5.466593,3.928194,5.058613,6.913238,4.939694,3.000000
4.774995,2.841940,3.547172,4.562499,6.900541,4.558019,3.999834,4.988913,4.009696,5.958820,3.000000
5.755162,2.922727,3.500444,5.366810,6.202940,4.132119,4.224353,6.067819,4.074399,5.027900,3.000000
5.659427,3.055358,3.495720,4.960329,4.656732,4.205207,4.368844,4.583518,3.259775,4.337065,3.000000
3.824299,2.887029,3.554922,3.708492,4.278273,4.234800,4.791567,5.009535,5.264307,5.542880,3.000000
6.315952,3.062027,3.547431,3.967872,5.630630,4.734825,3.976500,3.901501,3.144404,4.203233,3.000000
4.313881,3.025028,3.557448,4.606951,5.899222,5.637170,5.947847,5.945205,3.379818,4.908745,3.000000
5.530593,2.839899,3.673495,5.232806,4.277789,4.072340,2.961302,3.549700,2.685495,3.686238,3.000000
4.948608,3.158116,3.728548,5.088339,3.869358,4.844447,4.262303,5.231991,5.545411,3.855467,3.000000
7.553757,3.015585,3.562209,4.534373,4.518612,3.625203,4.755311,4.241370,6.636220,4.394830,3.000000
3.346631,2.980326,3.482094,5.208835,5.416620,4.474730,3.703395,6.575339,4.443048,5.864265,3.000000
4.538521,3.121684,3.567775,4.821839,4.198781,3.922206,4.177741,6.007137,4.037617,5.297081,3.000000
3.349651,2.829125,3.425607,5.174726,4.429596,3.128316,4.550394,5.162530,5.677166,5.305251,3.000000
4.833187,2.855931,3.669163,5.747281,7.740917,4.970235,4.505384,5.161750,4.244830,4.627353,3.000000
6.589123,2.961773,3.709033,6.267061,4.144495,4.849094,4.557130,3.102723,5.240817,4.245197,3.000000
5.079955,2.998333,3.457381,1.643780,4.293593,4.771456,3.564204,3.002818,6.533855,6.309995,3.000000
3.663537,3.013701,3.548984,5.514562,3.645607,4.382076,6.520107,5.098441,3.231207,5.524183,3.000000
3.897497,2.927695,3.678129,2.986251,4.793188,6.467353,4.081286,6.146612,5.100927,5.587679,3.000000
2.693485,3.039322,3.624066,4.623670,4.547954,4.384269,4.745331,3.800893,3.105744,3.617803,3.000000
7.540599,3.057615,3.547492,5.198402,5.976908,4.151224,6.113872,4.318621,5.069281,5.470052,3.000000
4.034455,2.863585,3.709644,3.885864,5.421742,3.582203,4.639291,5.346716,3.441588,5.711331,3.000000
3.441950,2.939902,3.358740,5.285200,5.941184,5.216736,6.223112,6.239534,4.938719,4.218297,3.000000
4.663779,2.940788,3.562665,5.338326,5.339465,3.034441,5.551457,4.188883,6.014725,4.948602,3.000000
5.238326,2.999192,3.603055,3.253076,3.599116,4.626651,4.603236,4.268384,4.684101,5.906916,3.000000
5.461954,2.996626,3.660591,4.690645,4.674187,6.216113,4.156884,4.284771,3.387737,4.145722,3.000000
4.928344,2.936424,3.671156,5.693808,3.481107,4.838844,3.827647,5.365633,4.977795,3.886100,3.000000
4.698734,2.862306,3.328235,4.339526,3.418146,4.701385,4.741327,3.223349,6.438343,4.597245,3.000000
5.890282,2.929753,3.459103,5.358515,4.053932,4.755173,4.335777,4.193000,3.765732,4.472846,3.000000
3.878186,3.085476,3.669169,3.687348,5.897928,5.218703,6.574109,4.027175,4.472620,4.165480,3.000000
4.396759,2.930080,3.338810,5.069885,3.835684,3.804547,4.543355,4.947542,5.390214,5.004552,3.000000
